AssetID|Type|Make|Model|PurchaseDate|Cost|MaintenanceSchedule|CurrentStatus|AssignedEmployeeID|CustomFeatures
74|Electric Vehicle|Audi|A6 allroad|2020-07-06|69253.83|Quarterly|Active|None|Custom Interior Shelving
75|Laser Measuring System|Audio Precision|A7250|2019-07-02|29585.94|Bi-annual|In Use|21|N/A
76|Luxury SUV|BMW|i4|2025-03-24|101495.95|Annual|Active|64|None
77|Premium Van|Mercedes-Benz|EQS|2023-03-06|104231.74|Monthly|In Maintenance|13|Roof Rack System
78|Electric Vehicle|BMW|X7|2021-10-21|101003.29|Quarterly|Active|97|Mobile Workshop
79|Thermal Imaging Camera|Werner|W8067|2019-07-24|17523.11|Bi-annual|In Calibration|4|N/A
80|Thermal Imaging Camera|Lutron|L7940|2024-06-30|28847.49|Annual|In Calibration|8|N/A
81|Electric Vehicle|Audi|Q7|2019-04-29|78690.98|Annual|Active|95|Mobile Workshop
82|Custom Wrapped Van|Tesla|Model Y|2023-09-12|122383.02|Bi-annual|Out of Service|28|Full Vehicle Wrap
83|Electric Vehicle|Ford Transit (Custom)|E-Transit|2019-02-07|88903.55|Annual|Active|None|Custom Interior Shelving
84|Premium Van|Audi|Q7|2024-01-26|129576.41|Annual|In Maintenance|122|None
85|Premium Van|Audi|A6 allroad|2020-02-29|70443.93|Monthly|Active|26|Custom Interior Shelving
86|Electric Vehicle|Ford Transit (Custom)|E-Transit|2019-01-26|108201.58|Monthly|Active|133|Custom Interior Shelving
87|Scaffold System|FLIR|F3094|2019-11-21|8233.22|Quarterly|In Repair|92|N/A
88|Luxury SUV|Audi|e-tron|2023-08-01|74904.06|Bi-annual|Active|109|GPS Tracking
89|Luxury SUV|BMW|X5|2021-07-26|79456.8|Annual|In Maintenance|89|Roof Rack System
90|Premium Ladder System|Fluke|F8556|2020-11-22|19266.52|Bi-annual|In Calibration|None|N/A
91|Premium Van|Mercedes-Benz|EQS|2021-08-10|102794.48|Bi-annual|In Maintenance|193|None
92|Thermal Imaging Camera|Fluke|F1515|2023-10-25|23015.28|Bi-annual|In Calibration|74|N/A
93|Laser Measuring System|Sencore|S4224|2019-11-11|28241.71|Monthly|In Use|None|N/A
94|Custom Wrapped Van|Audi|A6 allroad|2024-07-05|106575.26|Monthly|In Maintenance|199|GPS Tracking
95|Premium Van|BMW|i4|2020-11-12|85369.01|Annual|Active|143|GPS Tracking
96|Premium Van|Mercedes-Benz|GLE|2025-02-01|89339.59|Monthly|Active|100|Custom Interior Shelving
97|Advanced Network Analyzer|Crestron|C6389|2021-03-07|24214.55|Monthly|In Calibration|59|N/A
98|Premium Van|Audi|A6 allroad|2021-07-29|124990.42|Bi-annual|Active|180|Roof Rack System
99|Audio Calibration System|JDSU|J7493|2024-08-31|15768.68|Bi-annual|In Repair|None|N/A
100|Laser Measuring System|Sencore|S5568|2023-01-12|10026.36|Bi-annual|In Calibration|137|N/A
101|Electric Vehicle|RAM ProMaster (Custom)|2500|2021-06-09|97357.35|Annual|Out of Service|28|Mobile Workshop
102|Electric Vehicle|BMW|i4|2025-01-07|105319.92|Annual|Out of Service|66|Full Vehicle Wrap
103|Premium Ladder System|Werner|W9645|2020-09-26|18046.37|Monthly|In Calibration|None|N/A
104|Premium Van|Tesla|Model Y|2020-07-17|84099.9|Bi-annual|In Maintenance|23|Inverter System
105|Premium Ladder System|Crestron|C3867|2021-04-14|10448.23|Quarterly|In Repair|134|N/A
106|Luxury SUV|BMW|X5|2025-03-01|131031.81|Annual|Active|41|GPS Tracking
107|Fiber Optic Tools|Sencore|S9471|2019-07-22|28901.57|Quarterly|In Use|12|N/A
108|Advanced Network Analyzer|Sencore|S4768|2019-01-09|7612.46|Monthly|In Use|99|N/A
109|Custom Wrapped Van|Mercedes-Benz|Sprinter|2025-04-05|126062.69|Annual|Out of Service|3|Mobile Workshop
110|Electric Vehicle|BMW|X7|2022-03-28|91325.25|Monthly|Out of Service|142|Custom Interior Shelving
111|Electric Vehicle|RAM ProMaster (Custom)|2500|2024-09-21|108316.12|Monthly|In Maintenance|193|Custom Interior Shelving
112|Video Test Equipment|Audio Precision|A6158|2022-07-19|11727.36|Monthly|In Use|188|N/A
113|Advanced Network Analyzer|FLIR|F7623|2019-01-15|30412.78|Bi-annual|In Calibration|None|N/A
114|Premium Ladder System|FLIR|F2221|2019-07-08|12407.35|Annual|In Calibration|None|N/A
115|Premium Ladder System|Crestron|C2507|2023-05-29|4473.83|Bi-annual|In Calibration|None|N/A
116|Fiber Optic Tools|Crestron|C1025|2025-01-27|27079.1|Bi-annual|In Use|152|N/A
117|Custom Wrapped Van|Mercedes-Benz|EQS|2021-03-08|106601.59|Annual|In Maintenance|76|Roof Rack System
118|Custom Wrapped Van|Ford Transit (Custom)|E-Transit|2023-07-18|103452.89|Quarterly|In Maintenance|4|Mobile Workshop
119|Custom Wrapped Van|Ford Transit (Custom)|E-Transit|2020-04-29|100322.57|Annual|Out of Service|None|GPS Tracking
120|Scaffold System|JDSU|J6965|2023-10-23|3143.55|Quarterly|In Calibration|20|N/A
