ItemID|Category|Manufacturer|Model|Description|CurrentStock|ReorderLevel|UnitCost|MarkupPercentage|SupplierID|LastOrderDate|LeadTime|Discontinued
15|Ultra HD Projectors|Dynaudio|DYN-7292|Dynaudio Ultra HD Projectors - Premium Series|5|2|23228.95|52|37|2021-10-23|21 days|Yes
16|Voice Control Systems|Linn|LIN-6150|Linn Voice Control Systems - Premium Series|1|3|11902.43|42|73|2024-12-06|39 days|No
17|Smart Home Processors|Marantz|MAR-5250|Marantz Smart Home Processors - Premium Series|1|2|13438.95|39|72|2021-08-13|13 days|No
18|Motorized Shading|Dynaudio|DYN-1651|Dynaudio Motorized Shading - Premium Series|8|5|20785.75|26|50|2025-01-22|41 days|Yes
19|Automated Door Systems|Savant|SAV-8288|Savant Automated Door Systems - Premium Series|8|2|10231.72|43|117|2022-05-23|39 days|No
20|Premium Speakers|Meridian|MER-2423|Meridian Premium Speakers - Premium Series|2|3|12282.25|52|30|2021-06-22|34 days|No
21|Enterprise-Grade WiFi|Bowers & Wilkins|BOW-3567|Bowers & Wilkins Enterprise-Grade WiFi - Premium Series|8|3|20495.76|39|71|2021-10-31|7 days|No
22|Voice Control Systems|Dynaudio|DYN-1628|Dynaudio Voice Control Systems - Premium Series|6|1|18518.31|29|134|2025-01-01|23 days|No
23|Automated Door Systems|Control4|CON-7163|Control4 Automated Door Systems - Premium Series|3|2|26108.11|25|68|2020-10-07|18 days|No
24|Custom Lighting Controls|Elan|ELA-2453|Elan Custom Lighting Controls - Premium Series|8|2|20202.23|43|1|2021-02-10|11 days|No
25|Custom Lighting Controls|Linn|LIN-5310|Linn Custom Lighting Controls - Premium Series|6|5|19556.64|27|61|2023-11-09|29 days|No
26|Custom Lighting Controls|Elan|ELA-8947|Elan Custom Lighting Controls - Premium Series|7|4|24155.4|39|154|2023-09-30|21 days|No
27|Custom Lighting Controls|Integra|INT-8326|Integra Custom Lighting Controls - Premium Series|5|2|2754.05|32|109|2022-05-09|21 days|No
28|Custom Lighting Controls|Cisco Meraki|CIS-3098|Cisco Meraki Custom Lighting Controls - Premium Series|7|4|18204.19|47|154|2023-12-14|28 days|No
29|Motorized Shading|Savant|SAV-7701|Savant Motorized Shading - Premium Series|0|5|8078.58|57|83|2024-12-27|16 days|No
30|High-End Networking Equipment|Barco|BAR-5271|Barco High-End Networking Equipment - Premium Series|0|3|10829.85|53|125|2022-03-27|30 days|No
31|High-End Networking Equipment|Control4|CON-3728|Control4 High-End Networking Equipment - Premium Series|8|2|8560.11|51|29|2023-03-18|17 days|No
32|Smart Glass Solutions|Ubiquiti|UBI-1345|Ubiquiti Smart Glass Solutions - Premium Series|6|1|3649.21|59|86|2024-01-19|4 days|No
33|Enterprise-Grade WiFi|Sonos|SON-9773|Sonos Enterprise-Grade WiFi - Premium Series|3|2|18048.58|58|138|2022-01-11|16 days|No
34|Voice Control Systems|KEF|KEF-7773|KEF Voice Control Systems - Premium Series|3|5|8058.24|35|64|2021-11-09|26 days|No
35|Ultra HD Projectors|Savant|SAV-7519|Savant Ultra HD Projectors - Premium Series|7|1|20792.79|58|41|2022-10-24|9 days|No
36|Ultra HD Projectors|KEF|KEF-3025|KEF Ultra HD Projectors - Premium Series|6|4|17408.31|40|34|2021-07-11|5 days|No
37|Cinema Room Acoustics|Marantz|MAR-7805|Marantz Cinema Room Acoustics - Premium Series|0|1|23719.73|29|139|2022-10-30|7 days|No
38|Luxury Control Interfaces|McIntosh|MCI-6114|McIntosh Luxury Control Interfaces - Premium Series|5|4|20265.57|50|132|2024-08-29|15 days|No
39|Smart Home Processors|Marantz|MAR-8723|Marantz Smart Home Processors - Premium Series|6|3|12679.43|31|110|2023-09-05|19 days|No
40|Premium Cables & Connectors|Marantz|MAR-7265|Marantz Premium Cables & Connectors - Premium Series|0|4|13348.94|59|101|2021-05-15|35 days|No
41|Enterprise-Grade WiFi|McIntosh|MCI-4802|McIntosh Enterprise-Grade WiFi - Premium Series|7|3|12497.68|26|123|2024-04-28|28 days|No
42|Biometric Security|Ruckus|RUC-3773|Ruckus Biometric Security - Premium Series|3|4|9215.41|30|152|2023-02-22|9 days|No
43|Luxury Control Interfaces|Stewart Filmscreen|STE-4808|Stewart Filmscreen Luxury Control Interfaces - Premium Series|0|4|16995.62|55|65|2024-01-20|36 days|No
44|Voice Control Systems|Ubiquiti|UBI-7660|Ubiquiti Voice Control Systems - Premium Series|0|3|22962.12|27|54|2023-11-12|23 days|No
45|Enterprise-Grade WiFi|Martin Logan|MAR-6272|Martin Logan Enterprise-Grade WiFi - Premium Series|7|4|15053.68|45|132|2021-04-27|44 days|No
46|Voice Control Systems|Bowers & Wilkins|BOW-3085|Bowers & Wilkins Voice Control Systems - Premium Series|0|2|25342.5|52|134|2022-02-08|7 days|No
47|Luxury Control Interfaces|RTI|RTI-7949|RTI Luxury Control Interfaces - Premium Series|7|2|12095.9|32|135|2024-12-18|5 days|No
48|Voice Control Systems|Barco|BAR-5820|Barco Voice Control Systems - Premium Series|4|5|11049.72|43|83|2022-06-10|10 days|No
49|High-End Networking Equipment|Josh.ai|JOS-7082|Josh.ai High-End Networking Equipment - Premium Series|8|5|3986.17|58|65|2024-07-02|16 days|No
50|Motorized Shading|Ubiquiti|UBI-8763|Ubiquiti Motorized Shading - Premium Series|0|3|25502.71|33|107|2022-12-09|13 days|No
51|Custom Lighting Controls|Sonos|SON-4074|Sonos Custom Lighting Controls - Premium Series|3|1|27316.77|25|138|2023-12-07|22 days|No
52|Premium Speakers|Lutron|LUT-4703|Lutron Premium Speakers - Premium Series|5|1|17228.0|35|50|2021-12-18|7 days|No
53|Automated Door Systems|Epson Pro Cinema|EPS-7607|Epson Pro Cinema Automated Door Systems - Premium Series|4|5|16118.59|44|139|2023-07-02|26 days|No
54|Motorized Shading|Sonos|SON-3921|Sonos Motorized Shading - Premium Series|4|5|16342.39|31|27|2021-07-27|16 days|No
55|Distributed Audio Systems|Screen Innovations|SCR-8756|Screen Innovations Distributed Audio Systems - Premium Series|3|2|9153.09|42|1|2023-10-01|42 days|No
56|Motorized Shading|Bowers & Wilkins|BOW-8790|Bowers & Wilkins Motorized Shading - Premium Series|0|3|25570.3|34|20|2020-12-03|12 days|No
57|Ultra HD Projectors|Sony Professional|SON-8728|Sony Professional Ultra HD Projectors - Premium Series|5|3|14125.61|53|129|2023-09-23|30 days|No
58|Motorized Shading|Stewart Filmscreen|STE-6107|Stewart Filmscreen Motorized Shading - Premium Series|8|3|10444.51|49|136|2021-12-28|33 days|No
59|Smart Glass Solutions|Linn|LIN-8163|Linn Smart Glass Solutions - Premium Series|8|4|26277.31|42|126|2024-09-16|12 days|No
60|Smart Home Processors|Meridian|MER-3916|Meridian Smart Home Processors - Premium Series|0|3|15391.02|52|120|2021-12-14|44 days|No
61|High-End Networking Equipment|Epson Pro Cinema|EPS-7130|Epson Pro Cinema High-End Networking Equipment - Premium Series|2|1|5965.43|60|51|2022-02-22|15 days|No
62|Distributed Audio Systems|RTI|RTI-7043|RTI Distributed Audio Systems - Premium Series|4|5|263.78|44|4|2020-07-11|24 days|No
63|Ultra HD Projectors|Marantz|MAR-5145|Marantz Ultra HD Projectors - Premium Series|4|1|17685.45|50|147|2023-11-25|5 days|No
64|Automated Door Systems|Paradigm|PAR-8756|Paradigm Automated Door Systems - Premium Series|8|1|27424.17|54|10|2020-12-21|34 days|No
65|Smart Glass Solutions|Kaleidescape|KAL-7874|Kaleidescape Smart Glass Solutions - Premium Series|1|1|19437.47|36|114|2020-06-18|11 days|No
66|Ultra HD Projectors|Cisco Meraki|CIS-4181|Cisco Meraki Ultra HD Projectors - Premium Series|0|3|2779.85|59|82|2024-10-12|20 days|No
67|Luxury Control Interfaces|Somfy|SOM-2007|Somfy Luxury Control Interfaces - Premium Series|1|2|14252.56|50|129|2024-09-11|29 days|No
68|Smart Home Processors|Bowers & Wilkins|BOW-4255|Bowers & Wilkins Smart Home Processors - Premium Series|8|4|4837.11|27|45|2023-05-31|20 days|No
69|Automated Door Systems|Crestron|CRE-6594|Crestron Automated Door Systems - Premium Series|7|5|8632.8|60|23|2020-08-29|25 days|No
70|Custom Lighting Controls|Bowers & Wilkins|BOW-2415|Bowers & Wilkins Custom Lighting Controls - Premium Series|2|3|3294.41|30|152|2024-02-03|14 days|No
71|Ultra HD Projectors|Josh.ai|JOS-8542|Josh.ai Ultra HD Projectors - Premium Series|1|2|21713.5|38|79|2022-02-06|43 days|No
72|Biometric Security|RTI|RTI-7214|RTI Biometric Security - Premium Series|4|2|20581.52|33|72|2020-04-19|22 days|No
73|High-End Networking Equipment|Barco|BAR-4264|Barco High-End Networking Equipment - Premium Series|2|3|6299.05|37|67|2024-12-14|20 days|No
74|Smart Home Processors|Bowers & Wilkins|BOW-9569|Bowers & Wilkins Smart Home Processors - Premium Series|7|2|13527.97|48|10|2024-04-30|25 days|No
75|Smart Glass Solutions|Screen Innovations|SCR-5729|Screen Innovations Smart Glass Solutions - Premium Series|3|3|4374.74|38|129|2021-12-11|30 days|No
76|Voice Control Systems|Marantz|MAR-8662|Marantz Voice Control Systems - Premium Series|4|1|2595.85|38|30|2021-03-22|19 days|No
77|Biometric Security|Elan|ELA-7099|Elan Biometric Security - Premium Series|6|5|13126.0|54|9|2021-10-23|40 days|No
78|Premium Speakers|Axis|AXI-8790|Axis Premium Speakers - Premium Series|5|3|23920.92|25|26|2022-05-13|13 days|No
79|High-End Networking Equipment|Ruckus|RUC-1356|Ruckus High-End Networking Equipment - Premium Series|7|5|4567.6|59|117|2024-03-20|14 days|No
80|Voice Control Systems|Epson Pro Cinema|EPS-7114|Epson Pro Cinema Voice Control Systems - Premium Series|5|4|20130.85|55|103|2021-06-01|18 days|No
81|Cinema Room Acoustics|KEF|KEF-7977|KEF Cinema Room Acoustics - Premium Series|4|5|21013.31|57|103|2022-05-12|9 days|No
82|Luxury Control Interfaces|Dynaudio|DYN-9586|Dynaudio Luxury Control Interfaces - Premium Series|3|5|4667.28|44|36|2023-11-29|41 days|No
83|High-End Networking Equipment|Lutron|LUT-6670|Lutron High-End Networking Equipment - Premium Series|7|4|26687.21|44|43|2024-06-29|12 days|No
84|Biometric Security|Kaleidescape|KAL-2316|Kaleidescape Biometric Security - Premium Series|2|2|5599.14|36|53|2021-09-21|22 days|No
85|Voice Control Systems|Triad|TRI-8820|Triad Voice Control Systems - Premium Series|2|3|4331.84|60|26|2020-01-11|26 days|No
86|Biometric Security|Stewart Filmscreen|STE-8593|Stewart Filmscreen Biometric Security - Premium Series|3|1|19249.58|55|100|2022-02-09|45 days|No
87|Enterprise-Grade WiFi|Sony Professional|SON-7956|Sony Professional Enterprise-Grade WiFi - Premium Series|6|5|11062.81|45|19|2024-08-05|21 days|No
88|Biometric Security|Savant|SAV-6935|Savant Biometric Security - Premium Series|5|5|6182.2|36|1|2022-01-25|18 days|No
89|Enterprise-Grade WiFi|Stewart Filmscreen|STE-4079|Stewart Filmscreen Enterprise-Grade WiFi - Premium Series|0|2|25160.51|39|78|2022-10-20|11 days|No
90|High-End Networking Equipment|Screen Innovations|SCR-6096|Screen Innovations High-End Networking Equipment - Premium Series|6|4|18024.29|52|9|2021-08-06|12 days|No
91|Premium Cables & Connectors|Elan|ELA-2353|Elan Premium Cables & Connectors - Premium Series|5|1|4589.44|58|104|2022-08-10|9 days|No
92|Ultra HD Projectors|Josh.ai|JOS-8449|Josh.ai Ultra HD Projectors - Premium Series|0|4|8848.12|57|103|2023-11-06|27 days|No
93|Ultra HD Projectors|Ruckus|RUC-8377|Ruckus Ultra HD Projectors - Premium Series|8|3|11750.24|32|122|2024-07-10|41 days|No
94|Automated Door Systems|Somfy|SOM-7282|Somfy Automated Door Systems - Premium Series|1|2|3168.7|36|2|2022-12-24|30 days|No
95|Cinema Room Acoustics|JBL Synthesis|JBL-8614|JBL Synthesis Cinema Room Acoustics - Premium Series|4|1|5522.62|54|32|2020-04-09|30 days|No
96|Custom Lighting Controls|Somfy|SOM-6528|Somfy Custom Lighting Controls - Premium Series|4|1|1481.51|48|139|2022-05-21|19 days|No
97|Smart Home Processors|Axis|AXI-1583|Axis Smart Home Processors - Premium Series|1|3|11533.28|53|10|2021-09-01|23 days|No
98|Premium Cables & Connectors|Triad|TRI-3369|Triad Premium Cables & Connectors - Premium Series|7|4|4909.65|59|71|2020-09-15|9 days|No
99|Custom Lighting Controls|Triad|TRI-1665|Triad Custom Lighting Controls - Premium Series|1|3|25275.25|58|96|2022-07-27|39 days|Yes
100|Smart Glass Solutions|McIntosh|MCI-5947|McIntosh Smart Glass Solutions - Premium Series|6|4|10570.6|30|6|2025-03-14|24 days|No
101|Voice Control Systems|JBL Synthesis|JBL-4139|JBL Synthesis Voice Control Systems - Premium Series|4|3|19874.46|30|158|2020-08-26|30 days|No
102|Automated Door Systems|Triad|TRI-8748|Triad Automated Door Systems - Premium Series|3|4|19125.7|28|71|2023-03-20|26 days|No
103|Enterprise-Grade WiFi|Elan|ELA-3969|Elan Enterprise-Grade WiFi - Premium Series|4|3|7693.03|27|2|2022-03-27|41 days|No
104|Ultra HD Projectors|Barco|BAR-6212|Barco Ultra HD Projectors - Premium Series|1|2|18111.06|42|58|2022-08-05|20 days|Yes
105|High-End Networking Equipment|KEF|KEF-8547|KEF High-End Networking Equipment - Premium Series|6|5|1855.36|43|85|2024-08-20|41 days|No
106|Custom Lighting Controls|Crestron|CRE-8280|Crestron Custom Lighting Controls - Premium Series|2|4|9503.42|45|128|2024-08-11|25 days|No
107|Voice Control Systems|Josh.ai|JOS-2287|Josh.ai Voice Control Systems - Premium Series|7|5|18543.09|41|89|2020-03-07|28 days|No
108|Voice Control Systems|Somfy|SOM-8657|Somfy Voice Control Systems - Premium Series|0|2|8437.46|45|160|2023-10-13|31 days|No
109|Smart Glass Solutions|Axis|AXI-5651|Axis Smart Glass Solutions - Premium Series|8|4|15582.4|51|61|2024-03-18|4 days|No
110|Distributed Audio Systems|Sony Professional|SON-4576|Sony Professional Distributed Audio Systems - Premium Series|3|1|10475.17|32|147|2022-03-21|9 days|No
111|Automated Door Systems|Josh.ai|JOS-6767|Josh.ai Automated Door Systems - Premium Series|3|4|21114.7|50|154|2022-04-16|38 days|No
112|Enterprise-Grade WiFi|Somfy|SOM-9724|Somfy Enterprise-Grade WiFi - Premium Series|6|2|17373.25|45|104|2023-01-01|35 days|No
113|Custom Lighting Controls|Integra|INT-3910|Integra Custom Lighting Controls - Premium Series|6|3|22737.93|53|1|2025-03-07|13 days|No
114|High-End Networking Equipment|Anthem|ANT-7850|Anthem High-End Networking Equipment - Premium Series|6|4|18083.06|31|49|2023-04-03|27 days|No
115|Smart Glass Solutions|KEF|KEF-7697|KEF Smart Glass Solutions - Premium Series|0|3|3905.49|57|157|2023-05-12|8 days|No
116|Smart Glass Solutions|Paradigm|PAR-7378|Paradigm Smart Glass Solutions - Premium Series|8|5|18854.7|48|50|2024-03-01|4 days|No
117|Luxury Control Interfaces|Anthem|ANT-4273|Anthem Luxury Control Interfaces - Premium Series|5|2|10218.67|40|76|2022-08-25|14 days|No
118|Ultra HD Projectors|Linn|LIN-8268|Linn Ultra HD Projectors - Premium Series|3|2|15930.53|54|119|2023-11-01|18 days|No
119|Premium Speakers|Ubiquiti|UBI-2144|Ubiquiti Premium Speakers - Premium Series|0|1|23996.42|35|105|2022-08-04|18 days|No
120|Custom Lighting Controls|Screen Innovations|SCR-9803|Screen Innovations Custom Lighting Controls - Premium Series|1|5|2037.31|51|137|2024-12-14|19 days|No
121|Custom Lighting Controls|Paradigm|PAR-7527|Paradigm Custom Lighting Controls - Premium Series|0|3|22782.18|28|103|2024-07-20|21 days|No
122|Distributed Audio Systems|NAD|NAD-5300|NAD Distributed Audio Systems - Premium Series|1|2|11849.04|32|94|2020-10-25|9 days|No
123|High-End Networking Equipment|Kaleidescape|KAL-2591|Kaleidescape High-End Networking Equipment - Premium Series|5|1|25116.37|55|118|2021-06-25|16 days|No
124|Custom Lighting Controls|Triad|TRI-8285|Triad Custom Lighting Controls - Premium Series|5|4|20843.7|46|67|2023-11-12|21 days|No
125|Smart Glass Solutions|Control4|CON-1425|Control4 Smart Glass Solutions - Premium Series|3|3|20962.63|34|145|2021-08-13|36 days|No
126|Smart Home Processors|Ruckus|RUC-5992|Ruckus Smart Home Processors - Premium Series|7|4|25987.85|35|76|2023-07-22|39 days|No
127|Enterprise-Grade WiFi|Sony Professional|SON-4734|Sony Professional Enterprise-Grade WiFi - Premium Series|0|2|4123.35|43|150|2021-06-10|27 days|No
128|Smart Glass Solutions|Crestron|CRE-8814|Crestron Smart Glass Solutions - Premium Series|2|3|7215.55|57|40|2022-04-11|36 days|No
129|Distributed Audio Systems|Cisco Meraki|CIS-3770|Cisco Meraki Distributed Audio Systems - Premium Series|8|4|14444.21|49|45|2023-08-20|34 days|No
130|Premium Cables & Connectors|Crestron|CRE-6067|Crestron Premium Cables & Connectors - Premium Series|3|2|18426.92|29|39|2021-04-05|24 days|No
131|Enterprise-Grade WiFi|Meridian|MER-1199|Meridian Enterprise-Grade WiFi - Premium Series|8|2|17913.41|47|52|2022-07-29|34 days|No
132|Ultra HD Projectors|Stewart Filmscreen|STE-5447|Stewart Filmscreen Ultra HD Projectors - Premium Series|8|5|17267.15|46|138|2020-05-17|35 days|No
133|Enterprise-Grade WiFi|Lutron|LUT-5195|Lutron Enterprise-Grade WiFi - Premium Series|2|2|12343.27|58|59|2021-05-16|18 days|No
134|Custom Lighting Controls|Elan|ELA-2496|Elan Custom Lighting Controls - Premium Series|3|1|1211.98|42|34|2021-07-22|38 days|No
135|Ultra HD Projectors|Linn|LIN-9797|Linn Ultra HD Projectors - Premium Series|0|3|6343.59|55|19|2020-07-20|32 days|No
136|Premium Speakers|NAD|NAD-4522|NAD Premium Speakers - Premium Series|7|3|2393.95|37|146|2023-01-15|9 days|Yes
137|Premium Cables & Connectors|Meridian|MER-8475|Meridian Premium Cables & Connectors - Premium Series|0|3|19830.29|53|105|2021-02-02|44 days|No
138|Custom Lighting Controls|Elan|ELA-5909|Elan Custom Lighting Controls - Premium Series|4|5|9111.43|55|64|2021-08-04|35 days|No
139|Biometric Security|Dynaudio|DYN-3984|Dynaudio Biometric Security - Premium Series|7|1|8568.14|53|82|2024-03-29|10 days|No
140|Distributed Audio Systems|Paradigm|PAR-8078|Paradigm Distributed Audio Systems - Premium Series|4|1|13689.63|36|114|2024-04-06|7 days|No
141|Biometric Security|Elan|ELA-6033|Elan Biometric Security - Premium Series|8|3|5412.58|31|82|2021-03-12|17 days|No
142|Custom Lighting Controls|McIntosh|MCI-3532|McIntosh Custom Lighting Controls - Premium Series|5|2|18865.2|38|50|2023-10-08|39 days|No
143|Enterprise-Grade WiFi|Josh.ai|JOS-8762|Josh.ai Enterprise-Grade WiFi - Premium Series|6|3|23456.07|35|59|2022-11-23|23 days|No
144|Custom Lighting Controls|Ruckus|RUC-6798|Ruckus Custom Lighting Controls - Premium Series|5|4|10265.97|44|79|2024-01-28|24 days|No
145|Premium Cables & Connectors|Barco|BAR-6793|Barco Premium Cables & Connectors - Premium Series|2|4|265.37|50|71|2022-04-17|6 days|Yes
146|Voice Control Systems|RTI|RTI-7119|RTI Voice Control Systems - Premium Series|0|3|5823.8|41|110|2024-09-01|21 days|No
147|High-End Networking Equipment|RTI|RTI-5488|RTI High-End Networking Equipment - Premium Series|1|1|21952.83|57|63|2024-10-19|31 days|No
148|Voice Control Systems|Paradigm|PAR-7390|Paradigm Voice Control Systems - Premium Series|7|2|25897.52|55|72|2024-05-18|5 days|No
149|Smart Glass Solutions|Screen Innovations|SCR-5522|Screen Innovations Smart Glass Solutions - Premium Series|8|3|1734.69|28|113|2021-12-02|43 days|No
150|Premium Speakers|Paradigm|PAR-7779|Paradigm Premium Speakers - Premium Series|2|2|3788.06|29|151|2024-05-06|23 days|No
151|Motorized Shading|Bowers & Wilkins|BOW-5271|Bowers & Wilkins Motorized Shading - Premium Series|8|5|12113.97|45|75|2023-01-24|39 days|No
152|Luxury Control Interfaces|Sonos|SON-8304|Sonos Luxury Control Interfaces - Premium Series|3|2|23959.17|45|83|2025-01-27|26 days|No
153|Custom Lighting Controls|Somfy|SOM-1379|Somfy Custom Lighting Controls - Premium Series|2|1|9231.2|41|106|2023-05-21|19 days|No
154|Enterprise-Grade WiFi|Martin Logan|MAR-9392|Martin Logan Enterprise-Grade WiFi - Premium Series|5|1|21969.88|58|145|2025-02-12|6 days|No
155|Ultra HD Projectors|Dynaudio|DYN-5630|Dynaudio Ultra HD Projectors - Premium Series|5|1|24023.69|45|20|2022-10-04|37 days|No
156|Distributed Audio Systems|Meridian|MER-8675|Meridian Distributed Audio Systems - Premium Series|3|1|14674.97|57|111|2023-03-21|8 days|No
157|Custom Lighting Controls|NAD|NAD-2196|NAD Custom Lighting Controls - Premium Series|2|5|24469.45|34|87|2021-11-07|44 days|No
158|Enterprise-Grade WiFi|Epson Pro Cinema|EPS-1104|Epson Pro Cinema Enterprise-Grade WiFi - Premium Series|6|1|24470.58|50|3|2021-08-24|39 days|No
159|Premium Cables & Connectors|Kaleidescape|KAL-6351|Kaleidescape Premium Cables & Connectors - Premium Series|8|4|7199.98|39|52|2023-10-13|40 days|No
160|Smart Glass Solutions|Axis|AXI-3429|Axis Smart Glass Solutions - Premium Series|3|3|24575.94|34|47|2024-05-02|15 days|No
161|Distributed Audio Systems|Control4|CON-6365|Control4 Distributed Audio Systems - Premium Series|5|2|21459.5|59|54|2020-05-21|25 days|No
162|Luxury Control Interfaces|Epson Pro Cinema|EPS-6821|Epson Pro Cinema Luxury Control Interfaces - Premium Series|0|2|27253.59|39|113|2024-04-30|16 days|No
163|Premium Cables & Connectors|Savant|SAV-8320|Savant Premium Cables & Connectors - Premium Series|7|4|12269.86|38|51|2020-04-10|27 days|No
164|Premium Cables & Connectors|Meridian|MER-9462|Meridian Premium Cables & Connectors - Premium Series|1|2|2653.21|36|54|2025-02-13|35 days|No
165|Custom Lighting Controls|Axis|AXI-4446|Axis Custom Lighting Controls - Premium Series|1|5|20643.81|45|93|2021-01-26|29 days|No
166|Distributed Audio Systems|Meridian|MER-7881|Meridian Distributed Audio Systems - Premium Series|6|1|25990.72|26|91|2022-02-17|3 days|No
167|Smart Home Processors|Sonos|SON-2383|Sonos Smart Home Processors - Premium Series|6|4|12001.34|44|5|2023-12-07|17 days|No
168|Smart Home Processors|Cisco Meraki|CIS-1151|Cisco Meraki Smart Home Processors - Premium Series|2|5|1352.67|40|40|2023-03-02|14 days|No
169|Custom Lighting Controls|Control4|CON-7089|Control4 Custom Lighting Controls - Premium Series|6|2|1785.76|38|108|2021-08-23|45 days|No
170|Cinema Room Acoustics|Kaleidescape|KAL-2792|Kaleidescape Cinema Room Acoustics - Premium Series|2|1|20432.47|36|128|2024-12-05|26 days|No
171|Premium Cables & Connectors|Somfy|SOM-1466|Somfy Premium Cables & Connectors - Premium Series|0|3|25006.99|41|8|2021-10-19|42 days|No
172|Ultra HD Projectors|Kaleidescape|KAL-9604|Kaleidescape Ultra HD Projectors - Premium Series|2|2|25132.87|27|26|2022-02-11|37 days|Yes
173|Cinema Room Acoustics|KEF|KEF-8609|KEF Cinema Room Acoustics - Premium Series|6|5|2633.27|29|113|2022-09-01|10 days|No
174|Smart Glass Solutions|Crestron|CRE-6290|Crestron Smart Glass Solutions - Premium Series|8|3|8640.09|55|158|2020-09-19|19 days|No
175|Premium Speakers|Paradigm|PAR-9433|Paradigm Premium Speakers - Premium Series|2|2|13607.84|37|58|2021-03-25|11 days|No
176|Voice Control Systems|McIntosh|MCI-5092|McIntosh Voice Control Systems - Premium Series|3|3|19755.97|43|48|2020-08-03|42 days|No
177|Smart Home Processors|Ubiquiti|UBI-9518|Ubiquiti Smart Home Processors - Premium Series|8|5|19569.51|54|69|2023-04-24|45 days|No
178|Luxury Control Interfaces|Cisco Meraki|CIS-1560|Cisco Meraki Luxury Control Interfaces - Premium Series|6|1|11669.15|34|51|2024-02-17|40 days|No
179|Ultra HD Projectors|Kaleidescape|KAL-6284|Kaleidescape Ultra HD Projectors - Premium Series|0|5|17492.53|40|124|2022-03-23|13 days|No
180|High-End Networking Equipment|RTI|RTI-8425|RTI High-End Networking Equipment - Premium Series|4|5|17330.45|50|113|2021-03-15|31 days|No
181|Smart Home Processors|Dynaudio|DYN-6586|Dynaudio Smart Home Processors - Premium Series|7|5|25415.23|46|117|2021-06-06|14 days|No
182|Biometric Security|Ubiquiti|UBI-6987|Ubiquiti Biometric Security - Premium Series|6|1|21015.95|41|140|2024-05-20|7 days|No
183|Motorized Shading|Anthem|ANT-5844|Anthem Motorized Shading - Premium Series|2|3|22845.84|32|79|2023-12-30|38 days|No
184|Distributed Audio Systems|Bowers & Wilkins|BOW-9370|Bowers & Wilkins Distributed Audio Systems - Premium Series|3|2|26576.75|57|57|2022-03-25|14 days|No
185|Motorized Shading|Axis|AXI-9692|Axis Motorized Shading - Premium Series|8|1|14505.49|34|137|2024-10-27|39 days|No
186|Motorized Shading|Josh.ai|JOS-4707|Josh.ai Motorized Shading - Premium Series|2|5|10366.79|31|157|2023-07-24|13 days|No
187|Motorized Shading|Marantz|MAR-9548|Marantz Motorized Shading - Premium Series|6|4|1449.7|50|120|2022-03-09|21 days|No
188|Voice Control Systems|Ruckus|RUC-6105|Ruckus Voice Control Systems - Premium Series|3|5|119.69|41|153|2023-09-30|38 days|No
189|Ultra HD Projectors|Barco|BAR-4972|Barco Ultra HD Projectors - Premium Series|6|2|3952.91|55|108|2024-04-14|13 days|No
