ProjectID|CustomerID|ProjectType|Status|StartDateStr|CompletionDateStr|BidAmount|FinalAmount|CostOverrunAmount|ProfitMargin|Warranty|ServicePlan|ConstructionType|SquareFootage|City|Neighborhood|ArchitecturalFirm|GeneralContractor|BidWinDate|EstimatedHours|ActualHours|DelayImpactHours|EstimatedCompletionDate|DelayReason|CustomerSatisfaction
19|707|Smart Home Integration|Completed|2022-01-27|2022-07-09|34241.25|44304.7|3409.19|TBD|1 years|Standard|Major Remodel|7981|Woodinville|Bear Creek|N/A|Fox Ltd|2022-01-14|90|112|18|2022-06-24|Material Delays|5
20|74|Luxury Home Theater|Design Phase|2021-08-31|N/A|340148.71|TBD|0.0|TBD|TBD|TBD|Addition|3747|Redmond|Education Hill|Johnson PLC|Carter LLC|2021-07-15|169|TBD|0|2021-12-28|N/A|N/A
21|73|Voice Control Integration|Completed|2024-07-07|2024-10-22|296547.17|307006.64|0|TBD|5 years|Basic|System Upgrade|5400|Seattle|Clyde Hill|Gilbert PLC|Odom Group|2024-05-31|266|275|9|2024-08-30|Inspection Delays|3
22|450|Whole-Home Automation|On Hold|2023-04-15|N/A|163083.21|160750.24|0.0|TBD|TBD|TBD|New Construction|4207|Issaquah|Issaquah Highlands|Beltran, Ramirez and Kim|Knight, Schneider and Edwards|2023-03-27|53|TBD|0|2023-10-07|N/A|N/A
23|470|Automated Shading Solutions|Completed|2021-04-01|2021-08-04|230618.09|296831.55|0|TBD|2 years|Basic|Major Remodel|3336|Seattle|Medina|Gutierrez-Hughes|Harvey, Steele and Howard|2021-02-26|530|528|0|2021-07-01|Weather|5
24|189|Whole-Home Automation|In Progress|2021-11-18|TBD|43355.74|40862.93|0.0|TBD|TBD|TBD|Addition|8129|Bellevue|West Bellevue|Obrien, Gray and Thomas|Chavez LLC|2021-10-30|263|263|0|2021-12-20|N/A|N/A
25|6|Custom Security System|Completed|2023-07-30|2023-12-04|42200.67|50979.68|174.85|TBD|3 years|Basic|Addition|14088|Seattle|Clyde Hill|Powell, Smith and Anderson|Anderson LLC|2023-06-15|102|97|0|2023-10-15|Weather|3
26|343|Custom Wine Cellar Monitoring|Completed|2024-01-13|2024-05-29|97549.38|97318.03|0|TBD|4 years|None|New Construction|7613|Mercer Island|North End|N/A|Watson Ltd|2023-12-16|562|553|0|2024-05-27|Client Changes|3
27|9|Automated Shading Solutions|Completed|2024-02-27|2024-08-25|78218.99|75579.03|0|TBD|5 years|None|Major Remodel|9866|Mercer Island|North End|N/A|Hayes-Charles|2024-02-15|501|662|47|2024-08-14|Client Changes|3
28|186|Multi-Room Audio Video|Completed|2021-10-17|2022-02-07|16904.38|18691.53|307.62|TBD|4 years|Premium|Major Remodel|6697|Mercer Island|South End|Lopez Inc|Wood, Elliott and Williams|2021-07-24|573|512|0|2022-02-14|N/A|4
29|703|Smart Home Integration|On Hold|2024-12-05|N/A|146422.65|158440.6|0.0|TBD|TBD|TBD|New Construction|11556|Issaquah|Squak Mountain|Garcia-Black|Martin, Atkins and Khan|2024-09-19|215|TBD|0|2025-01-29|N/A|N/A
30|570|Smart Water Management|Completed|2021-07-13|2021-10-04|226167.31|251568.73|0|TBD|5 years|Premium|Major Remodel|14533|Mercer Island|South End|Rogers Group|Reynolds-Mckinney|2021-06-28|555|536|0|2021-09-09|Material Delays|5
31|159|Whole Home Battery Backup|Design Phase|2024-12-22|N/A|213639.39|TBD|0.0|TBD|TBD|TBD|Major Remodel|4100|Issaquah|Issaquah Highlands|Horn and Sons|Martinez, Rose and Carter|2024-11-27|282|TBD|0|2025-04-17|N/A|N/A
32|641|Outdoor Entertainment System|Completed|2024-04-06|2024-06-24|282697.94|315736.91|2934.39|TBD|1 years|Standard|Major Remodel|13076|Bellevue|Bridle Trails|N/A|Tucker-Mendez|2024-01-30|561|579|9|2024-06-19|Client Changes|5
33|768|Home Network Infrastructure|Contract Signed|2022-04-14|N/A|49178.78|TBD|0.0|TBD|TBD|TBD|System Upgrade|10983|Bellevue|West Bellevue|N/A|Hawkins, Marsh and Butler|2022-03-11|100|TBD|0|2022-06-22|N/A|N/A
34|37|Automated Lighting Control|Contract Signed|2025-03-12|N/A|274855.64|TBD|0.0|TBD|TBD|TBD|Major Remodel|13277|Woodinville|Hollywood Hill|Taylor-Myers|Calderon-Patrick|2025-02-26|408|TBD|0|2025-07-27|N/A|N/A
35|736|Custom Wine Cellar Monitoring|In Progress|2021-04-14|TBD|200022.96|214044.03|0.0|TBD|TBD|TBD|Major Remodel|14394|Seattle|Madison Park|Turner-Moore|Moore LLC|2021-03-22|264|264|0|2021-06-21|N/A|N/A
36|699|Smart Water Management|Contract Signed|2025-04-05|N/A|343114.77|TBD|0.0|TBD|TBD|TBD|Addition|7152|Bellevue|Newport Shores|N/A|Peters, King and Stephens|2025-02-24|467|TBD|0|2025-05-28|N/A|N/A
37|92|Custom Security System|In Progress|2021-04-28|TBD|241692.28|228362.71|0.0|TBD|TBD|TBD|New Construction|14203|Seattle|Medina|Lee-Jones|Young-Jones|2021-04-12|490|490|0|2021-07-26|N/A|N/A
38|123|Automated Shading Solutions|On Hold|2024-11-05|N/A|155837.26|159207.04|0.0|TBD|TBD|TBD|Major Remodel|12536|Woodinville|Hollywood Hill|N/A|Williams-Hahn|2024-09-11|520|TBD|0|2024-12-23|N/A|N/A
39|514|Outdoor Entertainment System|In Progress|2021-03-01|TBD|72082.98|66044.73|0.0|TBD|TBD|TBD|Major Remodel|4941|Kirkland|Juanita|Gentry Inc|Hernandez, Shelton and Welch|2020-12-15|322|322|0|2021-08-16|N/A|N/A
40|798|Multi-Room Audio Video|Completed|2023-04-12|2023-09-03|47495.52|53634.35|0|TBD|2 years|None|System Upgrade|3990|Bellevue|Bridle Trails|N/A|Mora Inc|2023-02-18|467|515|48|2023-08-14|Client Changes|4
41|353|Automated Lighting Control|In Progress|2022-06-06|TBD|268870.1|274498.04|0.0|TBD|TBD|TBD|Major Remodel|14751|Seattle|Magnolia|Farmer, Caldwell and Ortiz|Miller-Baker|2022-05-03|491|491|0|2022-07-15|N/A|N/A
42|682|Golf Simulator Room|Completed|2024-08-18|2024-10-23|341540.66|338506.04|0|TBD|4 years|Standard|System Upgrade|5406|Bellevue|West Bellevue|Marks PLC|Martinez, Garcia and Carpenter|2024-08-02|504|464|0|2024-10-29|N/A|3
43|246|Luxury Home Theater|In Progress|2025-02-22|TBD|213205.65|212906.83|0.0|TBD|TBD|TBD|New Construction|13203|Kirkland|Juanita|N/A|Martinez, Stewart and Gould|2025-02-09|368|79|0|2025-08-13|N/A|N/A
44|192|Home Network Infrastructure|Proposal|2024-12-27|N/A|97792.26|TBD|0.0|TBD|TBD|TBD|System Upgrade|6922|Seattle|Broadmoor|N/A|Rhodes, Thomas and Torres|2024-12-05|429|TBD|0|2025-06-21|N/A|N/A
45|81|Integrated Climate Control|Proposal|2024-09-27|N/A|106975.07|TBD|0.0|TBD|TBD|TBD|Major Remodel|3569|Mercer Island|South End|N/A|Ortiz-Arnold|2024-08-17|281|TBD|0|2025-03-12|N/A|N/A
46|370|Whole Home Battery Backup|Completed|2023-01-20|2023-07-25|138409.08|153459.13|0|TBD|4 years|Basic|System Upgrade|14825|Woodinville|Bear Creek|N/A|Roberts Inc|2022-12-06|551|477|0|2023-07-04|Material Delays|4
47|352|Biometric Security System|In Progress|2023-06-14|TBD|371098.39|338707.6|0.0|TBD|TBD|TBD|Major Remodel|7593|Seattle|Broadmoor|Green LLC|Gonzalez Inc|2023-05-25|317|317|0|2023-11-11|N/A|N/A
48|14|Smart Water Management|Completed|2021-02-15|2021-04-10|306335.34|330819.34|0|TBD|5 years|Standard|System Upgrade|10318|Seattle|Laurelhurst|Garcia, Acevedo and Key|Schultz, Collins and Rush|2021-01-24|380|429|21|2021-03-19|Weather|4
49|558|Home Network Infrastructure|Contract Signed|2022-07-20|N/A|83416.89|TBD|0.0|TBD|TBD|TBD|New Construction|7684|Seattle|Clyde Hill|Dorsey-Terry|Moore Ltd|2022-07-13|161|TBD|0|2022-11-21|N/A|N/A
50|547|Luxury Home Theater|Completed|2022-05-23|2022-07-16|183358.71|200672.77|0|TBD|3 years|Standard|Addition|6702|Seattle|Madison Park|Wallace PLC|Smith, Collins and Johnson|2022-05-06|465|472|0|2022-08-01|N/A|4
51|95|Outdoor Entertainment System|Contract Signed|2025-02-05|N/A|68859.7|TBD|0.0|TBD|TBD|TBD|New Construction|4300|Bellevue|Somerset|N/A|Gutierrez-Armstrong|2025-01-08|404|TBD|0|2025-07-20|N/A|N/A
52|116|Home Network Infrastructure|In Progress|2024-02-15|TBD|288867.33|270161.33|0.0|TBD|TBD|TBD|Addition|7255|Bellevue|West Bellevue|Sparks-Roman|Chavez-Phillips|2023-12-05|254|254|0|2024-04-25|N/A|N/A
53|136|Golf Simulator Room|On Hold|2024-08-09|N/A|310059.13|333332.92|0.0|TBD|TBD|TBD|Major Remodel|6646|Kirkland|Houghton|Ellis, Lewis and Johnson|Baker LLC|2024-07-23|581|TBD|0|2024-09-14|N/A|N/A
54|377|Luxury Home Theater|Completed|2023-03-31|2023-08-06|357362.64|418205.39|0|TBD|3 years|Premium|Major Remodel|10197|Issaquah|Issaquah Highlands|Nelson-Wells|Ellis Ltd|2023-03-08|232|257|0|2023-08-12|N/A|3
55|309|Smart Home Integration|Completed|2023-11-30|2023-12-18|130436.06|138513.45|0|TBD|2 years|Standard|Major Remodel|4964|Kirkland|Juanita|Greene-Gibbs|Swanson-Johnson|2023-11-21|77|104|0|2024-01-10|N/A|4
56|739|Custom Security System|Completed|2024-03-20|2024-06-09|89505.6|104529.3|0|TBD|1 years|Standard|Major Remodel|11488|Woodinville|Bear Creek|Hodge Group|Scott-Burton|2024-01-26|262|299|5|2024-05-20|Subcontractor Issues|3
57|152|Voice Control Integration|Contract Signed|2024-08-13|N/A|63601.86|TBD|0.0|TBD|TBD|TBD|System Upgrade|13082|Bellevue|Somerset|Morse, Fox and Smith|Wright Inc|2024-07-17|292|TBD|0|2025-01-14|N/A|N/A
58|434|Automated Shading Solutions|Completed|2024-08-03|2025-02-21|150483.13|167907.35|0|TBD|2 years|Premium|Major Remodel|8800|Seattle|Magnolia|Perez, Adkins and Duarte|Davis-Cabrera|2024-07-10|272|323|33|2024-12-24|Inspection Delays|5
59|205|Custom Wine Cellar Monitoring|In Progress|2023-11-05|TBD|33289.48|31208.47|0.0|TBD|TBD|TBD|Addition|4979|Woodinville|Bear Creek|Richmond-Jones|Smith-Jackson|2023-09-07|520|520|0|2023-12-13|N/A|N/A
60|724|Biometric Security System|Design Phase|2021-07-22|N/A|53267.71|TBD|0.0|TBD|TBD|TBD|Major Remodel|12146|Mercer Island|North End|Bell-Bentley|Brewer, Williams and Burns|2021-05-20|199|TBD|0|2021-09-21|N/A|N/A
61|166|Custom Wine Cellar Monitoring|Completed|2023-10-07|2024-04-03|294257.48|293038.8|0|TBD|2 years|Basic|Major Remodel|6550|Mercer Island|South End|N/A|Allen-Jennings|2023-09-07|308|407|99|2024-02-25|Subcontractor Issues|4
62|735|Home Network Infrastructure|Design Phase|2023-11-08|N/A|383945.46|TBD|0.0|TBD|TBD|TBD|System Upgrade|12178|Mercer Island|North End|N/A|Miller PLC|2023-09-01|339|TBD|0|2024-01-04|N/A|N/A
63|57|Voice Control Integration|Completed|2024-11-04|2025-02-04|258269.06|326730.08|30707.81|TBD|3 years|Standard|Addition|7008|Seattle|Hunts Point|Sullivan, Cook and Russell|Martin and Sons|2024-10-23|222|238|12|2025-01-20|Weather|5
64|179|Automated Shading Solutions|Completed|2024-11-01|2025-02-09|301044.72|354817.45|0|TBD|3 years|Standard|New Construction|13813|Seattle|Hunts Point|Johnson-Galvan|Brown Group|2024-10-13|147|125|0|2025-02-09|N/A|5
65|75|Biometric Security System|Completed|2021-04-28|2021-08-08|39810.41|47998.38|0|TBD|4 years|Basic|New Construction|8923|Bellevue|Beaux Arts|N/A|Sampson-Ross|2021-04-17|448|521|0|2021-08-09|N/A|5
66|217|Smart Water Management|Completed|2024-07-06|2024-12-01|174315.73|166631.45|0|TBD|5 years|Basic|New Construction|12440|Woodinville|Hollywood Hill|Evans, Hoffman and Hampton|Silva, Stone and Nelson|2024-06-10|128|178|17|2024-11-07|Client Changes|3
67|140|Home Network Infrastructure|Completed|2023-07-13|2023-10-19|78676.0|101628.78|0|TBD|2 years|Premium|New Construction|13203|Sammamish|Trossachs|N/A|Black-Mcdonald|2023-05-08|229|255|0|2023-11-11|N/A|3
68|416|Integrated Climate Control|Contract Signed|2021-07-03|N/A|293574.33|TBD|0.0|TBD|TBD|TBD|Addition|13163|Bellevue|Newport Shores|Wright, Morton and Johnson|Morse Group|2021-06-17|246|TBD|0|2021-08-20|N/A|N/A
69|548|Multi-Room Audio Video|Completed|2023-12-08|2024-02-18|177847.4|193194.07|0|TBD|5 years|Standard|Addition|8556|Mercer Island|South End|Smith-Jones|Herring-Hubbard|2023-11-17|208|233|15|2024-01-25|Weather|3
70|187|Custom Security System|Completed|2024-08-21|2025-02-08|238564.7|279237.08|0|TBD|3 years|Standard|System Upgrade|6086|Seattle|Medina|Valdez LLC|Solomon, Larson and Lamb|2024-07-14|282|385|80|2024-12-19|Inspection Delays|5
71|577|Voice Control Integration|Design Phase|2021-10-24|N/A|326837.77|TBD|0.0|TBD|TBD|TBD|System Upgrade|10967|Bellevue|Newport Shores|Wallace Inc|Huynh Inc|2021-09-23|110|TBD|0|2021-12-23|N/A|N/A
72|317|Automated Shading Solutions|Completed|2022-08-05|2022-09-06|130435.35|154289.82|0|TBD|4 years|None|Addition|7878|Issaquah|Squak Mountain|N/A|Rodriguez-Warner|2022-07-21|41|44|0|2022-09-16|N/A|5
73|716|Luxury Home Theater|In Progress|2021-07-02|TBD|111179.28|107413.1|0.0|TBD|TBD|TBD|New Construction|9663|Seattle|Magnolia|Collier-Haney|Jensen-Jackson|2021-05-23|434|434|0|2021-09-21|N/A|N/A
74|580|Golf Simulator Room|Design Phase|2022-02-12|N/A|243665.03|TBD|0.0|TBD|TBD|TBD|Addition|10231|Seattle|Hunts Point|Adams LLC|Duffy LLC|2022-02-03|318|TBD|0|2022-06-20|N/A|N/A
75|322|Voice Control Integration|Completed|2021-10-09|2022-02-24|145388.24|146337.51|196.27|TBD|1 years|Standard|Major Remodel|9988|Bellevue|Bridle Trails|Sweeney-Henderson|Perez-Hall|2021-08-30|268|258|0|2022-02-13|Inspection Delays|4
76|313|Automated Shading Solutions|Completed|2023-12-11|2024-07-19|374820.06|454957.24|0|TBD|4 years|Standard|System Upgrade|6627|Bellevue|Bridle Trails|Stone, Alvarado and Cross|Frost, Brooks and Martin|2023-10-29|383|408|9|2024-06-01|Subcontractor Issues|5
77|150|Integrated Climate Control|Completed|2023-03-22|2023-11-04|228357.99|238491.08|0|TBD|4 years|Basic|New Construction|11615|Woodinville|Bear Creek|Duke, Castillo and Frazier|Acosta LLC|2023-01-16|290|285|0|2023-09-18|Material Delays|5
78|9|Automated Lighting Control|In Progress|2024-04-30|TBD|380698.56|393566.77|0.0|TBD|TBD|TBD|System Upgrade|4634|Seattle|Magnolia|N/A|Meadows Inc|2024-03-29|171|171|0|2024-09-14|N/A|N/A
79|797|Voice Control Integration|Completed|2025-04-06|2025-08-05|87515.99|102446.57|0|TBD|3 years|Basic|System Upgrade|8516|Redmond|Sammamish Valley|Williamson-Robles|White, Sims and Whitney|2025-01-23|102|96|0|2025-06-08|Client Changes|4
80|56|Golf Simulator Room|Design Phase|2022-05-16|N/A|329082.55|TBD|0.0|TBD|TBD|TBD|Addition|4050|Seattle|Broadmoor|N/A|Ball Ltd|2022-05-09|324|TBD|0|2022-08-31|N/A|N/A
81|694|Biometric Security System|Completed|2021-10-17|2022-02-02|335001.61|380249.53|0|TBD|4 years|Basic|Major Remodel|8419|Issaquah|Squak Mountain|N/A|Bernard PLC|2021-09-29|149|190|0|2022-02-15|N/A|3
82|380|Automated Lighting Control|Completed|2021-01-05|2021-07-07|112079.65|119313.23|0|TBD|3 years|Basic|New Construction|4187|Seattle|Magnolia|Holland-Bryant|Vang and Sons|2020-12-22|120|142|2|2021-05-25|Material Delays|5
83|417|Multi-Room Audio Video|In Progress|2022-02-24|TBD|28839.4|27389.71|0.0|TBD|TBD|TBD|System Upgrade|10495|Bellevue|Bridle Trails|Booth, Hines and Benson|Nelson Group|2022-02-02|235|235|0|2022-05-11|N/A|N/A
84|667|Golf Simulator Room|Design Phase|2021-08-09|N/A|202384.19|TBD|0.0|TBD|TBD|TBD|Addition|11851|Seattle|Medina|Sharp, Hickman and Gonzalez|Cain, Carson and Singleton|2021-07-29|501|TBD|0|2021-11-06|N/A|N/A
85|327|Custom Wine Cellar Monitoring|Completed|2024-12-20|2025-07-01|344195.47|334745.22|0|TBD|1 years|None|System Upgrade|6085|Seattle|Clyde Hill|Hodge-Booker|Houston and Sons|2024-11-10|327|413|6|2025-06-13|Weather|5
86|157|Golf Simulator Room|Completed|2022-04-13|2022-08-04|160525.81|162678.61|0|TBD|5 years|Basic|Major Remodel|6259|Seattle|Queen Anne|Hopkins-Hughes|Beck-Green|2022-03-28|88|83|0|2022-08-14|N/A|5
87|23|Smart Water Management|Design Phase|2022-04-24|N/A|164368.98|TBD|0.0|TBD|TBD|TBD|New Construction|6531|Seattle|Queen Anne|Ritter and Sons|Ray-Gibbs|2022-04-11|177|TBD|0|2022-05-28|N/A|N/A
88|490|Golf Simulator Room|In Progress|2022-06-04|TBD|305150.92|296924.06|0.0|TBD|TBD|TBD|New Construction|10168|Kirkland|Juanita|Lowery-Myers|Jordan LLC|2022-05-26|109|109|0|2022-10-24|N/A|N/A
89|222|Luxury Home Theater|Completed|2022-12-13|2023-03-10|45332.14|57400.87|0|TBD|3 years|Standard|System Upgrade|10989|Seattle|Laurelhurst|Hansen-Garcia|Summers Group|2022-10-30|295|279|0|2023-04-02|N/A|5
90|678|Custom Wine Cellar Monitoring|Design Phase|2021-09-27|N/A|41595.36|TBD|0.0|TBD|TBD|TBD|New Construction|4488|Kirkland|Houghton|N/A|Martinez, Gilmore and Martinez|2021-08-28|343|TBD|0|2022-03-14|N/A|N/A
91|748|Custom Wine Cellar Monitoring|Design Phase|2022-08-23|N/A|316578.47|TBD|0.0|TBD|TBD|TBD|Addition|7242|Mercer Island|North End|N/A|Morgan Group|2022-07-29|99|TBD|0|2022-12-26|N/A|N/A
92|348|Home Network Infrastructure|Completed|2021-07-28|2022-01-06|34942.11|37594.78|0|TBD|5 years|Standard|Addition|5524|Mercer Island|North End|Cain, Grant and Lopez|Christensen-Long|2021-06-01|547|713|105|2021-12-26|Client Changes|5
93|254|Smart Water Management|Contract Signed|2021-05-12|N/A|158474.72|TBD|0.0|TBD|TBD|TBD|System Upgrade|14675|Bellevue|West Bellevue|Clark-Watkins|Carlson, Smith and Mcmillan|2021-03-12|81|TBD|0|2021-08-31|N/A|N/A
94|469|Outdoor Entertainment System|Contract Signed|2024-07-08|N/A|53250.39|TBD|0.0|TBD|TBD|TBD|New Construction|4408|Seattle|Clyde Hill|N/A|Rowland, Brewer and Ward|2024-06-24|118|TBD|0|2024-12-31|N/A|N/A
95|711|Luxury Home Theater|In Progress|2021-03-27|TBD|263251.15|283829.78|0.0|TBD|TBD|TBD|New Construction|10445|Seattle|Clyde Hill|Bradford and Sons|Love, King and Anderson|2021-02-15|465|465|0|2021-07-23|N/A|N/A
96|146|Voice Control Integration|Completed|2024-07-12|2024-09-01|82167.73|87214.37|0|TBD|5 years|Basic|New Construction|11093|Seattle|Madison Park|N/A|Larsen, Garcia and Weaver|2024-06-10|400|469|0|2024-09-18|N/A|5
97|197|Multi-Room Audio Video|Completed|2023-03-06|2023-07-18|58135.66|58813.04|0|TBD|3 years|Standard|System Upgrade|12684|Sammamish|Trossachs|N/A|Sanders-Burgess|2023-02-25|265|291|5|2023-06-07|Client Changes|4
98|171|Whole-Home Automation|Completed|2025-02-24|2025-08-06|128794.21|160247.85|0|TBD|3 years|None|System Upgrade|3192|Bellevue|West Bellevue|Cox and Sons|Bass, Wong and Murphy|2024-12-14|240|333|0|2025-08-11|N/A|4
99|239|Home Network Infrastructure|Completed|2023-02-06|2023-08-08|246412.33|312037.06|0|TBD|4 years|None|Major Remodel|5620|Sammamish|Sahalee|Bradshaw, Price and Brown|Estrada Inc|2023-01-08|559|583|19|2023-06-12|Material Delays|3
100|670|Whole-Home Automation|Completed|2023-07-16|2023-12-05|170665.98|215045.58|0|TBD|5 years|Standard|New Construction|5322|Sammamish|Sahalee|Townsend, Brown and Meyers|Jones-Jones|2023-06-14|366|343|0|2023-12-14|N/A|4
101|685|Multi-Room Audio Video|Completed|2025-01-25|2025-03-18|234435.46|248626.22|0|TBD|2 years|Premium|Addition|6810|Kirkland|Juanita|N/A|Stevens, Hoffman and French|2025-01-08|332|295|0|2025-04-03|N/A|4
102|229|Smart Water Management|Completed|2021-11-12|2022-03-21|260905.9|304797.01|14677.7|TBD|4 years|Premium|System Upgrade|4590|Seattle|Queen Anne|Hanson, Robertson and Taylor|Foley Inc|2021-10-08|343|436|23|2022-01-25|Client Changes|4
103|382|Multi-Room Audio Video|Completed|2025-04-07|2025-07-04|51272.11|63582.16|0|TBD|1 years|Standard|System Upgrade|7850|Redmond|Education Hill|Chambers PLC|Taylor, Gallagher and Schmidt|2025-03-31|319|365|14|2025-05-18|Weather|3
104|1|Home Network Infrastructure|Completed|2023-06-11|2023-12-16|221486.24|214945.9|0|TBD|1 years|Basic|System Upgrade|8006|Woodinville|Bear Creek|Wade-Bennett|Weber, Duran and Parks|2023-05-31|551|559|0|2023-11-25|Client Changes|5
105|795|Custom Wine Cellar Monitoring|Contract Signed|2023-03-07|N/A|251706.53|TBD|0.0|TBD|TBD|TBD|Addition|7006|Bellevue|Beaux Arts|N/A|Wilkins, Farrell and Woods|2023-01-26|549|TBD|0|2023-08-12|N/A|N/A
106|77|Automated Shading Solutions|Completed|2023-03-06|2023-06-25|259158.73|256341.05|0|TBD|2 years|Standard|Major Remodel|14712|Kirkland|Juanita|Craig and Sons|Brown Ltd|2023-02-06|448|572|15|2023-06-16|Inspection Delays|4
107|483|Automated Lighting Control|In Progress|2021-02-05|TBD|309766.19|285775.91|0.0|TBD|TBD|TBD|Addition|11373|Issaquah|Squak Mountain|N/A|Moreno-Snyder|2021-01-09|86|86|0|2021-03-23|N/A|N/A
108|59|Custom Security System|Contract Signed|2023-07-04|N/A|256646.91|TBD|0.0|TBD|TBD|TBD|Major Remodel|4816|Woodinville|Hollywood Hill|Fry-Sanchez|Chase-Mcmillan|2023-04-12|324|TBD|0|2023-11-15|N/A|N/A
109|184|Smart Water Management|Completed|2023-06-04|2023-06-19|87764.87|95541.75|0|TBD|2 years|Standard|New Construction|8271|Sammamish|Trossachs|Hardy-Jones|Martinez Inc|2023-05-20|212|187|0|2023-07-09|N/A|4
