SupplierID|Name|ContactName|ContactPhone|ContactEmail|PaymentTerms|PreferredStatus|ProductCategories|AuthorizedDealerFor|MinimumOrder|LastOrderDate|LeadTime|Discontinued
23|Monroe PLC|David Riggs|001-907-305-4736x015|velezmark@park.com|Net 60|Standard|"Motorized Shading|Smart Home Processors|Ultra HD Projectors|Biometric Security|Luxury Control Interfaces"|"Lutron|Triad|Linn"|$0.0|2022-12-30|3 days|No
24|Smith-Gordon|Gregory Armstrong|747.659.7833|michaelkline@lopez.org|Net 60|Standard|"High-End Networking Equipment|Cinema Room Acoustics|Premium Speakers|Voice Control Systems|Distributed Audio Systems"|"Integra|Cisco Meraki|Lutron|Crestron"|$1100.0|2024-08-14|17 days|No
25|Meyers Group|Steven Wagner|(464)632-0317x26652|qryan@valenzuela.com|Net 30 Premium|Standard|"Luxury Control Interfaces|Smart Home Processors|Ultra HD Projectors"|"JBL Synthesis|Linn|NAD|KEF"|$1100.0|2021-10-26|16 days|No
26|Smith-Cochran|Morgan Barrett|3862014605|joshua27@morales.com|Custom Terms|Preferred|"Luxury Control Interfaces|Custom Lighting Controls|Motorized Shading|Voice Control Systems"|"Bowers & Wilkins|Martin Logan|Elan|Anthem"|$550.0|2021-01-13|15 days|No
27|Brown, Newman and Swanson|Erica Fisher DDS|269.530.1000|tranadriana@smith.net|Net 30 Premium|Preferred|"Biometric Security|Smart Home Processors"|"Stewart Filmscreen|RTI"|$550.0|2020-05-22|7 days|No
28|Thompson Ltd|Mrs. Melissa Ramirez|389-529-0930x43766|ilong@johnson.com|Net 45|Standard|"Cinema Room Acoustics|Biometric Security|Premium Cables & Connectors|Premium Speakers"|McIntosh|$2750.0|2022-02-12|4 days|No
29|Reid, Meyer and Bailey|Dr. Elizabeth Ellis|001-547-205-3110x583|mcrawford@west.com|Net 30 Premium|Preferred|Enterprise-Grade WiFi|Marantz|$0.0|2020-10-19|3 days|No
30|Richards, Martinez and Parker|Lisa Wells|(550)816-7671x87762|ryanfox@estrada.biz|Net 60|Standard|Distributed Audio Systems|RTI|$2750.0|2020-10-12|39 days|No
31|Martin, Glass and Jackson|Jeffery Graham|280.993.7616x52289|beverly35@nichols.info|Custom Terms|Preferred|"Smart Home Processors|High-End Networking Equipment"|Marantz|$0.0|2023-07-09|4 days|No
32|Marshall-Hamilton|Sara James|3836858050|mejiadaniel@rivera-arnold.com|Net 60|Preferred|Distributed Audio Systems|"Kaleidescape|Crestron|KEF|Savant"|$2750.0|2021-04-09|27 days|No
33|Jones, Morrow and Lawrence|Heather Sanders|288-271-1486|kim09@green.com|Net 30 Premium|Standard|"Motorized Shading|Biometric Security|Premium Cables & Connectors"|KEF|$1100.0|2020-07-27|25 days|No
34|Gould, Hoffman and Small|Joel Williams|702.293.0112|schneiderpeter@johnson.com|Net 30 Premium|Standard|"Premium Speakers|High-End Networking Equipment|Cinema Room Acoustics"|"Epson Pro Cinema|Ubiquiti"|$550.0|2023-05-13|30 days|No
35|Stanley-Burke|Christopher Perez|269.231.8062|bfowler@burnett.biz|Net 60|Standard|"Smart Glass Solutions|Automated Door Systems|Smart Home Processors"|"Martin Logan|Somfy|JBL Synthesis"|$0.0|2024-07-18|3 days|No
36|Page, Taylor and Miles|Heidi Harrison|001-640-257-1446x9567|fdaniels@cox.com|Net 45|Preferred|"Enterprise-Grade WiFi|Biometric Security"|"NAD|Paradigm|Sonos|Meridian"|$2750.0|2023-03-29|20 days|No
37|Robinson-Rivera|James Patterson|+1-686-558-3483|diana62@collier-lewis.biz|Custom Terms|Preferred|"Luxury Control Interfaces|Cinema Room Acoustics|Enterprise-Grade WiFi"|"Epson Pro Cinema|Paradigm|Barco|Ubiquiti"|$550.0|2020-10-10|27 days|No
38|Holmes-Allen|Matthew Murray|(587)608-9432x698|john69@rogers.com|Net 45|Preferred|"Distributed Audio Systems|Cinema Room Acoustics|Custom Lighting Controls|Automated Door Systems"|"KEF|Bowers & Wilkins|Triad|Somfy"|$550.0|2020-01-06|4 days|No
39|Marsh-Ward|Linda Patel|(972)900-7342x9390|robinburns@richard.com|Net 60|Standard|"Luxury Control Interfaces|Premium Speakers|Ultra HD Projectors|High-End Networking Equipment"|"Integra|Anthem"|$2750.0|2020-10-22|18 days|No
40|Reid-Weeks|Tracy Smith|+1-701-262-5851|hannahfields@riddle-johnson.com|Net 45|Preferred|"Ultra HD Projectors|Voice Control Systems"|"Screen Innovations|Savant"|$2750.0|2023-11-26|26 days|No
41|Davis, Clark and Perez|Terry Carlson|001-233-679-5311x12359|richardlopez@montoya-hernandez.biz|Net 30 Premium|Standard|Biometric Security|"Savant|Kaleidescape"|$550.0|2022-01-18|8 days|No
42|James, White and Contreras|Anthony Cox|683.885.5451|yatesmadison@miller.info|Custom Terms|Preferred|Smart Glass Solutions|"Paradigm|Sony Professional"|$1100.0|2024-03-12|33 days|No
43|Winters, Torres and Poole|Michael Barker|001-906-627-2816x733|idavis@contreras.com|Net 30 Premium|Preferred|"Custom Lighting Controls|Enterprise-Grade WiFi|Biometric Security"|"Lutron|Control4"|$550.0|2023-05-22|35 days|No
44|Ball-Farmer|Paige Scott|926-808-4818|alexishowell@coleman.com|Net 60|Standard|"Automated Door Systems|Premium Cables & Connectors|Biometric Security|Custom Lighting Controls"|"KEF|Epson Pro Cinema|Josh.ai"|$0.0|2021-07-10|36 days|No
45|Collier, Allen and Tyler|Luke Rogers|467-404-5059|ralexander@meza.com|Custom Terms|Standard|"Voice Control Systems|Motorized Shading"|"Stewart Filmscreen|Elan"|$0.0|2024-08-11|32 days|No
46|Carey PLC|Kerry Johnson|451.442.0259x36450|danielscott@cox-watson.biz|Net 60|Standard|"Automated Door Systems|Premium Cables & Connectors|Luxury Control Interfaces|Ultra HD Projectors"|"Marantz|McIntosh"|$0.0|2020-08-01|26 days|No
47|Lopez-Lynch|Gary Garza|001-344-231-8343x6953|elizabethrichards@wilson-day.com|Net 45|Standard|"Ultra HD Projectors|Motorized Shading|Smart Home Processors"|Linn|$0.0|2023-05-07|22 days|No
48|Russell Ltd|Tiffany Mayer|+1-326-251-7328x162|nperez@moore.net|Net 45|Preferred|"Biometric Security|Ultra HD Projectors"|Paradigm|$0.0|2020-04-03|23 days|No
49|Sanders Inc|Jessica Shelton|(371)705-2987x70745|brianhill@smith.com|Net 60|Standard|"Ultra HD Projectors|High-End Networking Equipment|Enterprise-Grade WiFi"|"Cisco Meraki|Stewart Filmscreen"|$1100.0|2024-01-26|11 days|No
50|Parsons Group|Kelly Castro|+1-790-834-5029|djuarez@wong.com|Custom Terms|Standard|High-End Networking Equipment|Dynaudio|$550.0|2024-07-11|4 days|No
51|Jacobs Ltd|Denise Cohen|354.518.2368x810|seanjones@garcia-sanchez.biz|Net 45|Preferred|"Custom Lighting Controls|Smart Glass Solutions|Ultra HD Projectors|Smart Home Processors"|"Bowers & Wilkins|KEF|Linn|Kaleidescape"|$550.0|2024-04-23|35 days|No
52|Garcia LLC|Aaron Young|+1-582-853-2083x16816|youngannette@frazier.com|Net 45|Preferred|"Biometric Security|Distributed Audio Systems|Enterprise-Grade WiFi|High-End Networking Equipment|Custom Lighting Controls"|"Epson Pro Cinema|Control4|Screen Innovations"|$550.0|2021-05-04|42 days|No
53|James, Smith and Curry|Elizabeth Tucker|920.300.5214x1070|jallen@savage-johnson.net|Custom Terms|Preferred|"Smart Glass Solutions|Biometric Security"|Kaleidescape|$1100.0|2024-04-18|38 days|No
54|Flores, White and Ellis|Angela Rodriguez|001-891-794-4545x69729|perry19@chavez.com|Net 30 Premium|Standard|Custom Lighting Controls|"Integra|Josh.ai"|$1100.0|2020-05-19|39 days|No
55|Gonzales Ltd|Audrey Fischer|586.226.3956x12667|michael37@gonzalez.info|Net 45|Standard|Premium Speakers|"JBL Synthesis|Paradigm|NAD|Sony Professional"|$0.0|2025-04-08|39 days|No
56|Mitchell, Haney and Martin|Michael Pennington|001-646-314-4662x76330|trujillorobert@sutton.com|Custom Terms|Standard|"Automated Door Systems|Smart Home Processors|Premium Cables & Connectors"|"NAD|Somfy"|$1100.0|2022-11-15|26 days|No
57|Lopez-Dixon|James Schmidt|(936)247-0465x68969|nicholashansen@smith.net|Net 30 Premium|Standard|"Distributed Audio Systems|Custom Lighting Controls|Smart Home Processors|Biometric Security"|Triad|$0.0|2023-12-04|12 days|No
58|Tucker PLC|Crystal Daniel|001-715-592-2912x706|caleb40@newton-jennings.org|Custom Terms|Standard|"Premium Cables & Connectors|Luxury Control Interfaces|Smart Glass Solutions"|"Screen Innovations|Anthem"|$0.0|2023-10-02|25 days|No
59|Miller Group|Jose Campbell|883-201-8179|ccook@salazar.com|Net 45|Standard|"Cinema Room Acoustics|Automated Door Systems|Custom Lighting Controls|Premium Speakers|Voice Control Systems"|"Epson Pro Cinema|RTI|Stewart Filmscreen|Ubiquiti"|$1100.0|2020-05-12|24 days|No
60|Woods, Mitchell and Mendez|Amy Martin|(817)711-4865|tranamanda@cooley.biz|Net 30 Premium|Preferred|"Motorized Shading|Voice Control Systems|Automated Door Systems|Custom Lighting Controls"|Kaleidescape|$550.0|2022-08-20|43 days|No
61|Vasquez Ltd|Sarah Grimes|863-316-3129x75572|mcarlson@robinson-sloan.net|Net 60|Standard|"Ultra HD Projectors|Smart Glass Solutions|Enterprise-Grade WiFi|Premium Cables & Connectors|Cinema Room Acoustics"|"Linn|Lutron|Savant|Epson Pro Cinema"|$1100.0|2021-07-06|43 days|No
62|Davis and Sons|Melissa Lawrence|001-290-968-2013|simmonstristan@pope.com|Custom Terms|Preferred|"Premium Speakers|Smart Home Processors"|"Barco|Linn|JBL Synthesis|Elan"|$0.0|2024-08-27|8 days|No
63|Price Ltd|Thomas Lang|217.698.5490|sanchezemily@howard.com|Net 45|Preferred|"High-End Networking Equipment|Enterprise-Grade WiFi|Smart Home Processors|Luxury Control Interfaces"|"Paradigm|Josh.ai|Epson Pro Cinema|Axis"|$2750.0|2025-02-12|3 days|No
64|Walker, Neal and Mckee|Cynthia Harper|001-481-727-4392|daniel41@haynes.com|Net 45|Preferred|"Motorized Shading|Premium Speakers|Voice Control Systems|Biometric Security|Smart Glass Solutions"|"Crestron|Kaleidescape|Anthem"|$550.0|2025-03-27|34 days|No
65|Stevenson, Jarvis and Fry|Johnny Fisher|(512)636-0186|jonathan38@flores-davis.biz|Custom Terms|Preferred|Enterprise-Grade WiFi|NAD|$550.0|2024-08-31|43 days|No
66|Parsons PLC|Steven Owen|+1-968-459-0964x598|robin08@carr.info|Custom Terms|Standard|"Premium Speakers|Ultra HD Projectors|Motorized Shading|Voice Control Systems|Enterprise-Grade WiFi"|"Screen Innovations|Linn"|$550.0|2021-12-13|15 days|No
67|Fields-Mcclain|Tracy Frost|(468)311-3397x36707|tsandoval@villegas-mccarthy.com|Net 60|Standard|"Ultra HD Projectors|High-End Networking Equipment|Automated Door Systems|Cinema Room Acoustics|Smart Home Processors"|Martin Logan|$2750.0|2023-08-21|29 days|No
68|Anderson-Jackson|Samuel Nelson|001-298-330-6323x654|bankskyle@jackson-hodges.net|Net 60|Preferred|"Automated Door Systems|Distributed Audio Systems|Premium Cables & Connectors"|"Anthem|Epson Pro Cinema"|$550.0|2022-02-03|38 days|No
69|Moore-Galloway|Michael Sanchez|001-850-694-7651x18615|salazarbarbara@parker.com|Custom Terms|Standard|"Premium Cables & Connectors|Cinema Room Acoustics|Smart Home Processors|Biometric Security|Voice Control Systems"|Bowers & Wilkins|$0.0|2024-07-08|8 days|No
70|Ryan, Mann and Merritt|Francisco Rivas|(345)319-0826|daylucas@jensen-white.org|Net 30 Premium|Standard|"Cinema Room Acoustics|Premium Cables & Connectors|Premium Speakers|Custom Lighting Controls|Smart Glass Solutions"|Integra|$2750.0|2024-10-10|16 days|No
71|Branch, Johnson and Frye|James James|001-869-322-9533|christopher18@lynch.org|Custom Terms|Standard|"Distributed Audio Systems|Premium Cables & Connectors|Premium Speakers|Motorized Shading"|"Anthem|Barco|Stewart Filmscreen"|$1100.0|2020-01-16|17 days|No
72|Logan LLC|Matthew Trevino|506-562-8346x3348|jason51@rose.com|Net 60|Standard|"Cinema Room Acoustics|Biometric Security|Smart Home Processors"|"Triad|Crestron|Barco|Control4"|$0.0|2020-02-01|12 days|No
73|Hamilton, Stokes and Cain|David Hoffman|(792)485-5074x3509|chelsea70@hudson.biz|Net 45|Standard|"Automated Door Systems|Voice Control Systems|Smart Glass Solutions|High-End Networking Equipment|Cinema Room Acoustics"|"Triad|Stewart Filmscreen|RTI|Lutron"|$2750.0|2024-06-29|11 days|No
74|Murphy-Morris|Scott Sullivan|7476188300|andreaherring@michael.org|Net 45|Standard|"Voice Control Systems|Luxury Control Interfaces|Premium Cables & Connectors|High-End Networking Equipment"|Sony Professional|$0.0|2022-10-29|43 days|No
75|Morales, Bennett and Mccarty|Kevin Carr|970-361-7069x014|johnsonkatherine@green.info|Net 45|Standard|"Automated Door Systems|Enterprise-Grade WiFi|Biometric Security|Smart Home Processors"|"Bowers & Wilkins|Savant"|$0.0|2022-06-14|43 days|No
76|Rogers Group|Jennifer Luna|9516886016|anna23@benson-booker.com|Net 30 Premium|Standard|"Ultra HD Projectors|Smart Glass Solutions"|Sony Professional|$1100.0|2022-07-18|14 days|No
77|Clay, Lucero and Johnston|Stephen Gay|450-656-6937x540|laurahamilton@decker-herrera.com|Net 45|Standard|"Smart Home Processors|Motorized Shading"|"JBL Synthesis|Lutron|Marantz|Bowers & Wilkins"|$550.0|2025-03-29|43 days|Yes
78|Solis-Martinez|Sarah Rivera|+1-638-557-6264x81638|dvillarreal@cruz.com|Net 30 Premium|Preferred|"Automated Door Systems|Premium Speakers|Cinema Room Acoustics|Custom Lighting Controls|Smart Glass Solutions"|"JBL Synthesis|Elan|Bowers & Wilkins"|$2750.0|2020-06-07|26 days|No
79|Larsen, Johnson and Miller|Jessica Lane|+1-751-893-0485x277|nwilliams@murphy-thomas.com|Custom Terms|Standard|"Premium Cables & Connectors|Premium Speakers"|"Sonos|Martin Logan|Linn|Barco"|$1100.0|2022-02-07|43 days|No
80|Henderson, King and Frazier|Kurt Powell|001-396-933-1812x33576|westjeffrey@blackwell.com|Net 30 Premium|Standard|"Luxury Control Interfaces|Smart Home Processors"|Meridian|$1100.0|2021-12-03|33 days|No
81|Murray-Mercado|Jason Taylor|967.985.0898|kristen59@sutton-santos.com|Net 30 Premium|Preferred|"Distributed Audio Systems|Ultra HD Projectors|Luxury Control Interfaces|Cinema Room Acoustics|Smart Home Processors"|Savant|$550.0|2022-11-26|16 days|No
82|Marquez, Taylor and Gomez|Paul Cobb|2376676874|andrewdelacruz@mcdonald-miller.org|Net 45|Preferred|Cinema Room Acoustics|"KEF|Bowers & Wilkins"|$550.0|2024-01-30|20 days|No
83|Bell-Evans|Paul Miranda|+1-830-799-0009x4065|johnroberts@cooper-fox.com|Net 60|Standard|"Premium Speakers|High-End Networking Equipment"|"Epson Pro Cinema|Dynaudio|Stewart Filmscreen|RTI"|$550.0|2021-05-27|15 days|No
84|Sandoval, Diaz and Peterson|Curtis Rhodes|(760)800-4709x11034|millerhannah@shaw.com|Net 60|Preferred|"Premium Cables & Connectors|Premium Speakers|Smart Glass Solutions"|"Martin Logan|Epson Pro Cinema"|$2750.0|2024-12-13|30 days|No
85|Miller Inc|Emily Lewis|846.961.4477x618|ramirezsteven@jenkins.biz|Net 30 Premium|Standard|"Automated Door Systems|High-End Networking Equipment|Smart Glass Solutions"|"RTI|Axis|Somfy|Sonos"|$550.0|2022-07-09|5 days|No
86|Mcclure, Erickson and Smith|Casey Powell|+1-495-408-9142x330|shenderson@stewart.com|Net 60|Preferred|"Smart Glass Solutions|Premium Cables & Connectors|Smart Home Processors"|Elan|$1100.0|2024-07-14|30 days|No
87|Nichols, Thompson and Moore|Henry Robinson|586-560-4747|kingjessica@morgan.com|Net 60|Preferred|"Motorized Shading|Premium Speakers|Cinema Room Acoustics"|"Meridian|Crestron|Cisco Meraki"|$0.0|2023-11-10|24 days|No
88|Smith LLC|Diane Smith|001-923-687-3518x6647|harristara@jones-craig.com|Custom Terms|Preferred|"Enterprise-Grade WiFi|High-End Networking Equipment|Motorized Shading|Distributed Audio Systems|Premium Speakers"|"Linn|McIntosh"|$1100.0|2023-02-22|41 days|No
89|Kelly LLC|Steven Waller|001-758-715-3988x52178|lambalexandra@mercado.com|Custom Terms|Standard|Smart Glass Solutions|"Cisco Meraki|RTI|Lutron|Martin Logan"|$0.0|2022-10-18|20 days|No
90|Krause, Rivera and Aguirre|Valerie Rodriguez|359.223.8319x348|haneysusan@fuentes.com|Net 45|Standard|Custom Lighting Controls|"Triad|Savant|Integra|Crestron"|$2750.0|2025-02-10|21 days|No
91|Martinez-Lawson|Emily Moore|001-795-497-3091x218|sconway@branch.biz|Net 60|Standard|"Ultra HD Projectors|Distributed Audio Systems|Automated Door Systems|Cinema Room Acoustics"|Paradigm|$2750.0|2020-07-13|22 days|No
92|Gonzalez Inc|Martin Cox|2159303044|qpatel@garcia.biz|Net 60|Standard|"Premium Cables & Connectors|Premium Speakers|Distributed Audio Systems"|Stewart Filmscreen|$2750.0|2021-09-03|34 days|No
93|Austin-Turner|Emma Russell|001-463-845-4182x991|matthew06@cohen-donovan.com|Net 60|Standard|Automated Door Systems|Savant|$0.0|2021-04-03|3 days|No
94|Barnes Inc|Nicole Hendrix|(491)800-8224x2168|edwinmiller@kelly-little.com|Custom Terms|Preferred|"Automated Door Systems|Voice Control Systems|Cinema Room Acoustics"|RTI|$1100.0|2024-01-22|37 days|No
95|Casey, Houston and Carroll|Charles Rice|+1-447-491-0059x3257|mwilliams@thomas.info|Net 30 Premium|Preferred|Smart Home Processors|"Sonos|JBL Synthesis|Ubiquiti"|$2750.0|2023-11-09|20 days|No
96|Hansen-Gilbert|Dawn Lee|212.495.1452x058|ysmith@roberts.com|Net 30 Premium|Preferred|"Smart Glass Solutions|Custom Lighting Controls"|"Barco|NAD"|$0.0|2023-09-30|36 days|No
97|Baker Group|Sarah Tanner|776-895-0904x189|qmccarty@johnson.com|Custom Terms|Preferred|"Custom Lighting Controls|Biometric Security|Cinema Room Acoustics|Smart Home Processors|High-End Networking Equipment"|"Integra|Bowers & Wilkins|Axis"|$550.0|2023-02-17|45 days|No
98|Randall, Reynolds and Taylor|Katherine Romero|476.256.9931x36062|gaylauren@hawkins.com|Net 30 Premium|Standard|"Voice Control Systems|Premium Speakers"|Linn|$550.0|2020-01-27|32 days|No
99|Rivas-Hill|Stephanie Miller|001-690-738-0351|annsampson@roberts.com|Net 60|Preferred|"Custom Lighting Controls|Premium Speakers"|"Ruckus|Anthem|Kaleidescape"|$0.0|2024-10-02|11 days|No
100|Stevens-Elliott|Isaiah Parker|(283)795-1673|davidcross@smith-hawkins.net|Net 45|Standard|"Premium Cables & Connectors|Custom Lighting Controls|Smart Glass Solutions"|"Sonos|Marantz"|$550.0|2022-05-16|22 days|No
101|Powell, Sims and Goodman|Robert James|+1-529-425-8228x28018|nathanielwilliams@palmer.biz|Net 30 Premium|Preferred|"Biometric Security|Premium Speakers|Luxury Control Interfaces|Custom Lighting Controls|Automated Door Systems"|"Elan|Marantz|Savant|Paradigm"|$2750.0|2023-09-17|25 days|No
102|Knox-Fowler|Lisa Ross|783-574-4959x75213|pacemarcus@sutton-fletcher.org|Custom Terms|Standard|"Premium Speakers|High-End Networking Equipment|Premium Cables & Connectors|Motorized Shading|Luxury Control Interfaces"|"Lutron|NAD|Marantz"|$0.0|2022-01-27|6 days|No
103|Moore, Shaw and Dean|Michael Sanford|314-386-2675|vcoleman@adams.com|Net 45|Standard|"Motorized Shading|Smart Home Processors|Cinema Room Acoustics|Premium Cables & Connectors"|"Epson Pro Cinema|McIntosh|Lutron|Triad"|$550.0|2020-08-15|10 days|No
104|Jones-Howard|Emily Rodriguez|(278)396-3009x3582|cmueller@blake.org|Net 60|Preferred|Smart Glass Solutions|Marantz|$2750.0|2021-04-08|28 days|No
105|Pearson-Moore|Brianna Warren|001-883-249-2766x80984|brockmorgan@hill.com|Net 60|Standard|"Voice Control Systems|Automated Door Systems"|"Linn|Axis"|$1100.0|2023-07-28|41 days|No
106|Spencer-Jones|Sheila Gonzales|658.666.7155|wgilmore@willis.com|Net 45|Standard|Premium Speakers|"Ruckus|Triad|Josh.ai|Cisco Meraki"|$0.0|2023-10-27|13 days|No
107|Zamora, Washington and Adams|Wanda Schultz|(372)305-3649|jennifernicholson@ortiz-rodgers.com|Custom Terms|Preferred|"Luxury Control Interfaces|Ultra HD Projectors|Biometric Security|Custom Lighting Controls"|"JBL Synthesis|Sonos"|$0.0|2020-12-15|41 days|No
108|Diaz, Williams and Zavala|Tiffany Booker|001-838-430-7755x8212|mgreen@sanders-davidson.com|Custom Terms|Preferred|"Smart Glass Solutions|Ultra HD Projectors|Custom Lighting Controls|Motorized Shading"|Integra|$550.0|2024-09-06|36 days|No
109|Goodman-Smith|Paula Johnson|351.499.1981x7755|kerry49@morgan.com|Net 30 Premium|Preferred|"Enterprise-Grade WiFi|Premium Speakers"|"NAD|Martin Logan|Axis"|$1100.0|2023-01-22|45 days|No
110|Hardin-Harvey|Peter Wolf|259.774.7765x65907|kevin94@leon.com|Net 60|Standard|"Custom Lighting Controls|Ultra HD Projectors|High-End Networking Equipment"|"Meridian|Marantz|Savant|Kaleidescape"|$550.0|2022-04-20|45 days|No
111|Herrera-Sandoval|Scott Owen|(520)694-9076|reedmichael@owens-mcknight.com|Custom Terms|Preferred|"Custom Lighting Controls|Ultra HD Projectors|Motorized Shading"|RTI|$2750.0|2025-02-28|43 days|No
112|Martinez LLC|Julia Trevino|001-749-843-1487x22557|dale54@burch.biz|Custom Terms|Standard|"Cinema Room Acoustics|Biometric Security|Automated Door Systems"|"JBL Synthesis|Axis"|$1100.0|2024-12-23|28 days|No
113|Murphy, Wong and Mcdonald|Emily Young|(985)655-8095|gcox@valdez.com|Net 60|Standard|"Smart Home Processors|Motorized Shading|Ultra HD Projectors"|Epson Pro Cinema|$2750.0|2024-06-16|39 days|No
114|Cobb PLC|Deborah Bowman|001-836-923-3470x40714|scotttiffany@lawrence.com|Custom Terms|Standard|"Smart Home Processors|Premium Speakers|Ultra HD Projectors"|"Anthem|Kaleidescape"|$1100.0|2022-12-07|42 days|No
115|Martinez-Bailey|Gerald Williams|001-837-345-6017x039|millermichael@johnson.info|Net 60|Preferred|"Smart Home Processors|Custom Lighting Controls"|"Crestron|Anthem|Control4"|$1100.0|2021-03-21|40 days|No
